BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
SCB,15-Jun,11/5550,L/07/01/17/00028,Sri Lanka,JENY,NAVDEEP
SCB,13-Jun,07/3908,003ILUF171640001,Nepal,JENY,SURYA
SCB,11-Jun,07/3897,17DC01USD15476,Nepal,JENY,SURYA
SCB,16-Jun,11/5555,007MLCS17000290,Sri Lanka,JENY,NAVDEEP
BTMU,17-Jun,03/0919,0027817FLU000021,India,JENY,GAURAV
HSBC,16-Jun,11/5562,TF1716501031,Sri Lanka,JENY,NAVDEEP
SCB,16-Jun,07/3904,LC1812637374,Nepal,JENY,SURYA
SCB,18-Jun,07/3916,IUSDF1517USD0340,Nepal,JENY,SURYA
SCB,18-Jun,07/3905,001LCIFU170359,Nepal,JENY,SURYA
SCB,16-Jun,02/5588,RC0IMLU171640001,India,JENY,SANJEEV
SCB,16-Jun,11/5543,DB4077LC1705586,Sri Lanka,JENY,NAVDEEP
HSBC,17-Jun,06/275,003LC01171680010,India,JENY,VIPIN
HSBC,17-Jun,01/8358,B027LCMAHI147077,India,JENY,SANJEEV
HSBC,16-Jun,01/8334,001LM01171670002,India,JENY,SANJEEV
HSBC,15-Jun,05/2203,0009MLC00006818,India,JENY,GAURAV
SCB,17-Jun,01/8359,OLC0017170004768,India,JENY,SANJEEV
